410,410,410,410,410,410,404,403,403,404,410,410,410,410,410,410,410,403,404,404,404,410,410,410,410,410,410,410,404,404,404,403,410,410,409,410,410,410,410,404,403,403,404,410,410,410,410,410,410,410,404,404,403,404,410,410,409,410,410,410,410,403,404,404,404,410,410,410,410,410,410,409,404,404,404,403,410,410,410,410,410,410,404,404,404,404,403,410,410,410,410,410,409,404,403,403,403,410,410,410,410,410,410,410,403,404,404,403,410,410,410,410,410,410,410,404,404,403,404,410,410,410,410,410,410,410,403,404,404,403,410,409,410,410,410,410,404,403,403,404,410,410,410,410,410,410,410,404,404,403,403,410,410,410,410,410,410,410,404,404,404,404,410,410,410,410,410,410,410,403,403,403,404,410,410,410,410,410,410,410,404,404,403,403,410,410,410,410,410,410,410,404,404,404,404,410,410,410,410,410
410,404,404,404,404,404,410,410,410,410,410,410,404,403,404,404,410,410,410,410,410,410,410,403,403,404,403,410,410,410,410,410,410,410,404,404,404,404,410,410,410,410,410,410,410,404,403,404,403,410,410,410,410,410,410,410,404,404,404,404,410,410,410,410,434,410,410,404,404,404,403,410,410,410,410,410,410,410,404,403,404,404,410,410,410,410,409,410,410,404,404,404,404,410,410,409,410,410,410,410,403,404,403,403,410,410,410,410,410,410,404,404,404,404,403,410,410,407,410,410,407,428,403,403,428,404,410,410,410,410,410,410,410,403,404,404,403,410,409,410,410,409,410,401,400,404,404,401,410,410,407,406,407,407,401,401,401,400,410,407,407,409,410,407,410,404,401,404,403,410,410,410,410,410,410,404,403,404,404,403,410,410,410,410,410,410,401,403,403,403,403,410,410,410,410,410,410,403,403,404
404,410,410,410,410,410,410,410,403,404,404,403,410,410,410,410,410,410,410,404,403,404,404,410,410,409,410,410,410,410,428,404,404,401,410,410,407,410,410,407,407,428,403,428,404,410,410,409,410,410,409,410,404,404,403,404,410,410,410,410,410,410,410,404,403,404,404,410,409,410,410,410,410,410,403,404,404,403,410,410,410,409,410,410,410,404,404,403,404,410,410,410,410,410,410,410,404,403,404,404,409,410,410,410,410,410,404,404,404,404,410,410,410,410,410,410,410,404,404,404,404,410,410,410,410,410,410,410,404,404,403,404,410,410,410,410,410,410,410,404,404,403,404,410,410,410,410,410,410,410,404,404,403,403,410,410,410,410,410,410,409,403,404,403,403,407,410,410,410,410,410,406,404,403,403,400,410,410,410,410,409,410,401,401,400,401,407,406,406,407,407,407,407,400,400,401,400,407,407,407
407,407,407,400,400,401,401,407,407,407,407,407,407,407,401,401,400,401,407,407,407,407,407,407,401,401,400,400,407,407,407,407,407,407,407,401,400,401,401,407,407,407,407,407,407,401,400,401,401,407,407,407,407,407,407,402,401,401,401,400,407,407,407,407,407,407,401,401,400,400,407,407,407,407,407,407,401,401,401,400,406,407,407,407,407,407,407,401,400,401,400,407,407,407,407,407,407,401,400,401,400,407,407,407,407,407,407,407,400,401,401,401,407,407,407,407,406,407,401,401,401,401,407,407,407,407,407,407,407,401,401,400,401,407,407,407,407,407,407,401,401,401,400,407,407,407,406,407,407,407,401,401,400,401,407,407,407,407,407,407,401,401,401,401,406,407,407,407,407,407,407,401,401,401,400,406,407,407,407,407,407,401,400,401,400,407,407,407,406,407,407,407,401,400,401,401,407,407,407,407
407,407,401,401,401,401,407,407,407,407,407,407,407,401,401,401,401,407,407,407,407,406,407,401,401,401,401,407,407,407,407,406,407,407,401,401,397,398,404,404,404,404,404,404,398,397,398,397,404,404,404,404,404,404,397,398,398,398,404,404,404,404,404,404,404,398,398,397,398,404,403,404,404,404,404,398,397,397,398,404,404,404,404,404,404,397,398,398,398,404,404,404,404,404,403,398,398,398,398,404,404,404,404,404,403,398,398,398,397,402,404,404,404,404,404,404,398,397,398,397,404,403,404,404,404,407,401,400,400,401,407,407,407,407,407,407,401,401,401,401,407,407,407,407,407,407,407,401,401,401,401,407,407,407,407,407,407,401,400,401,401,400,407,407,407,407,407,407,400,400,401,401,407,407,407,407,407,407,400,400,400,401,407,407,407,407,407,406,407,400,404,403,403,409,410,410,410,410,410,410
404,403,404,404,410,410,410,410,410,410,403,404,404,403,403,410,410,410,410,410,410,404,404,404,404,410,410,410,410,410,410,410,403,404,404,404,410,410,410,410,410,410,410,404,404,404,404,410,410,410,410,410,410,410,404,404,404,403,410,410,410,410,410,410,410,403,404,404,404,410,409,410,434,410,410,407,400,401,400,400,407,407,407,407,407,407,401,400,400,400,407,407,407,407,407,407,402,401,401,400,400,407,407,407,407,407,407,397,398,398,398,404,404,404,404,404,404,398,398,398,397,404,404,404,404,404,404,398,398,397,397,404,404,404,404,404,404,404,397,398,398,398,404,404,404,404,404,404,398,398,397,398,404,403,404,404,404,404,397,397,398,398,403,404,404,404,404,404,397,398,397,397,404,404,404,404,404,404,398,398,398,398,404,404,404,404,404,404,397,398,398,397,404,404,404,407,407,407,407,400
401,400,400,407,407,407,407,407,407,400,401,401,401,407,407,407,407,407,407,403,398,397,397,404,404,404,404,404,404,428,395,395,395,395,401,401,401,401,401,401,395,395,395,395,401,425,425,398,397,398,392,392,392,392,398,398,398,398,398,398,416,416,416,389,395,395,395,395,395,395,389,388,388,388,394,395,394,395,395,395,389,388,389,395,395,422,422,422,398,398,392,392,391,396,398,425,401,401,401,401,394,394,394,422,404,404,404,404,404,404,398,400,400,400,407,407,406,407,407,434,410,404,404,404,404,410,410,410,437,413,413,413,406,407,407,407,407,413,413,413,413,413,412,407,407,407,407,406,413,413,437,413,437,437,437,437,431,431,431,431,431,431,437,410,410,410,410,410,410,403,404,404,403,410,410,410,410,410,410,410,404,404,403,403,410,410,410,410,410,410,403,404,404,403,404,410,410,410,410,410
410,404,403,404,404,409,410,410,410,410,410,410,404,404,404,404,410,409,410,410,410,410,410,404,404,403,404,410,410,410,410,410,410,410,404,404,404,404,410,410,410,410,410,410,409,404,404,404,404,410,410,410,410,410,409,404,403,403,404,404,410,410,410,410,410,410,404,404,404,403,410,410,410,410,410,410,410,404,404,404,403,410,410,410,410,410,410,410,404,404,404,404,410,410,410,410,410,410,410,404,404,404,404,410,410,410,410,410,410,404,403,404,404,404,410,410,410,410,410,410,404,403,404,404,410,410,410,410,410,409,410,404,403,404,404,410,410,410,410,410,410,410,403,404,404,404,410,410,410,410,410,410,410,403,404,404,404,410,410,410,410,410,410,404,404,403,403,404,410,410,410,410,410,410,403,404,403,404,410,410,410,410,410,410,410,404,403,404,404,410,410,410,410,410,410,410,404,404,404,403
410,410,410,410,410,410,410,404,404,404,404,410,410,410,410,410,410,410,404,404,404,403,410,410,410,410,410,410,404,404,404,404,404,410,410,410,410,410,410,404,403,404,404,403,410,410,410,410,410,410,403,404,404,403,410,410,410,410,410,410,410,404,404,403,404,410,410,410,410,410,410,410,404,403,404,404,410,410,410,409,410,410,410,404,404,403,404,410,410,410,410,410,410,410,404,404,404,404,410,410,410,410,410,410,410,403,404,404,403,410,410,410,410,410,410,403,403,403,404,405,410,410,410,410,410,410,404,404,404,404,410,410,410,410,410,410,410,404,404,404,403,410,410,410,410,410,410,410,404,404,404,404,410,410,410,410,410,410,410,404,403,403,404,410,410,410,410,410,410,410,404,404,403,404,410,410,410,410,410,410,407,404,404,404,404,410,410,410,410,410,410,404,404,404,404,404,410,410,410,410
410,410,404,404,403,404,410,410,410,410,410,410,410,404,403,404,404,410,409,410,410,410,410,410,403,403,403,403,410,410,410,410,410,410,410,404,404,403,404,410,410,410,410,410,410,404,404,404,404,404,410,410,410,410,410,410,404,404,404,404,405,410,410,410,410,410,410,403,404,403,404,410,410,410,410,410,410,410,403,404,404,404,410,410,410,410,410,410,410,404,404,404,404,410,410,410,410,410,409,410,404,404,404,404,410,410,410,410,410,410,410,403,404,404,403,410,410,410,410,410,410,410,404,404,403,403,410,410,410,410,410,410,404,404,404,404,404,410,410,410,410,410,410,404,404,404,404,410,410,410,410,410,410,410,404,404,403,403,410,410,410,410,410,410,410,404,404,403,403,410,410,410,410,410,410,410,403,404,404,404,410,410,410,410,410,410,410,403,404,404,404,410,410,410,410,410,410,410,404,403
